url,price,ean,name
https://www.drogal.com.br/biscoito-recheado-nestle-negresco-90g/p,4.39,00016295,Biscoito Recheado Nestlé Negresco 90g
https://www.drogal.com.br/sabonete-em-barra-protex-propolis-85g/p,4.09,00001530,Sabonete em Barra Protex Própolis 85g
https://www.drogal.com.br/gel-de-limpeza-profunda-avene-cleanance-150g/p,75.79,00003743,Gel de Limpeza profunda Avène Cleanance 150g
https://www.drogal.com.br/antiacido-efervescente-gastroliv-sabor-laranja-5g/p,1.79,00013083,Antiácido Efervescente Gastroliv Sabor Laranja 5g
https://www.drogal.com.br/noex-64mcg-suspensao-em-spray-nasal120-doses/p,74.89,00008373,Noex 64mcg Suspensão em Spray Nasal120 Doses
https://www.drogal.com.br/busonid-caps-400mcg-60-capsulas-para-inalacao-inalador/p,105.59,00008441,Busonid Caps 400mcg 60 Cápsulas Para Inalação + Inalador
https://www.drogal.com.br/succinato-de-desvanlafaxina-monoidratado-50mg-medley-30-comprimidos-revestidos-de-liberacao-prolongada/p,,,
https://www.drogal.com.br/clopin-duo-75mg-100mg-30-comprimidos-revestidos/p,79.79,00010154,Clopin Duo 75mg + 100mg 30 Comprimidos Revestidos
https://www.drogal.com.br/pinazan-25mg-30-cpr-c1/p,51.19,00014064,Pinazan 25mg caixa com 30 comprimidos
https://www.drogal.com.br/metildopa-250mg-30-cpr-g-ems/p,26.69,00008957,Metildopa 250mg EMS 30 Comprimidos Revestidos
https://www.drogal.com.br/rusovas-10mg-60-cpr/p,116.36,00017986,Rusovas 10mg caixa 60 comprimidos revestidos
https://www.drogal.com.br/talco-desodorante-pes-rio-sport-tradicional-100g/p,10.29,00001684,Talco Desodorante Para os Pés Rio Sport Tradicional 100g
https://www.drogal.com.br/po-compacto-vult-acido-hialuronico-fps90-cor-5-escuro-6g/p,80.39,00018710,Pó Compacto Vult Ácido Hialurônico FPS90 Cor 5 Escuro 6g
https://www.drogal.com.br/creme-hidratante-corporal-fisiogel-200g/p,52.55,00018632,Creme Hidratante Corporal Fisiogel 200g
https://www.drogal.com.br/secnidal1000mgcaixacom2comprimidos/p,47.09,00017817,Secnidal 1000mg caixa com 2 comprimidos
https://www.drogal.com.br/mamadeira-chuquinha-lillo-0-3-meses-bico-silicone-rosa-50ml/p,19.19,00000585,Mamadeira Chuquinha Lillo 0-3 Meses Bico Silicone Rosa 50ml
https://www.drogal.com.br/barrinha-assiflora-sabor-banana-cremosa-com-acucar-30g/p,3.59,00014735,Barrinha Assiflora Sabor Banana Cremosa com Açúcar 30g
https://www.drogal.com.br/vimpat-200mg-28-comprimidos-revestidos/p,673.39,00017342,Vimpat 200mg 28 Comprimidos Revestidos
https://www.drogal.com.br/hidratante-facial-fisiogel-terapia-de-hidratacao-fps50-60ml/p,47.59,00004554,Hidratante Facial Fisiogel Terapia de Hidratação FPS50 60ml
https://www.drogal.com.br/adocante-liquido-linea-sucralose-75ml/p,14.09,00014365,Adoçante Líquido Linea Sucralose 75ml
https://www.drogal.com.br/desodorante-antitranspirante-aerossol-giovanna-baby-blanc-vanilla-150ml/p,12.89,00001888,Desodorante Antitranspirante Aerossol Giovanna Baby Blanc Vanilla 150ml
https://www.drogal.com.br/energiclin-c-zn-hebron-30-comprimidos/p,56.29,00012966,Energiclin C + Zn Hebron 30 Comprimidos
https://www.drogal.com.br/protetor-solar-facial-anthelios-airlicium-la-roche-posay-fps80-cor-50-40g/p,102.15,00019066,Protetor Solar Facial La Roche-Posay Anthelios Airlicium Antioleosidade FPS80 Cor 5.0 40g
https://www.drogal.com.br/nociclin015mais003mgcaixacom21comprimidos/p,8.89,00008886,Nociclin 015 + 003mg caixa com 21 comprimidos
https://www.drogal.com.br/gel-hidratante-pos-sol-sveda-solar-125ml/p,27.99,00004139,Gel Hidratante Refrescante Sveda Solar Pós Sol 125g
https://www.drogal.com.br/dimesilato-de-lisdexanfetamina-50mg-eurofarma-30-capsulas-duras/p,332.09,00020726,Dimesilato de Lisdexanfetamina 50mg Eurofarma 30 Cápsulas Duras
https://www.drogal.com.br/suplemento-alimentar-cronoliv-vitamina-c-60-capsulas/p,45.81,00015311,Suplemento Alimentar Cronoliv Vitamina C 60 Cápsulas
https://www.drogal.com.br/rabeprazol-sodico10mg14cgsan/p,61.39,00017984,Rabeprazol Sódico 10mg Sandoz 14 Comprimidos Revestidos
https://www.drogal.com.br/carvedilol-25mg-biosintetica-30-comprimidos/p,18.19,00008477,Carvedilol 25mg Biosintética 30 comprimidos
https://www.drogal.com.br/perfume-eau-de-parfum-feminino-mon-bourjois-la-formidable-50ml/p,75.99,00019771,Perfume Eau de Parfum Feminino Mon Bourjois La Formidable 50ml
https://www.drogal.com.br/diclofenaco-dietilamonio-10mg-neo-quimica-gel-creme-60g/p,8.69,00011920,Diclofenaco Dietilamônio 10mg Neo Química Gel Creme 60g
