EAN;Produto;Preço (R$);Link
7891106914109;Yasmin 3mg + 0,03mg, 63 comprimidos revestidos;309.03;https://www.drogaven.com.br/yasmin-3mg-003mg-63-comprimidos-revestidos/p
7899706171601;Hidratante Facial L'Oréal Revitalift Hialurônico Diurno FPS 20 com 50mL;40.38;https://www.drogaven.com.br/hidratante-facial-loreal-revitalift-hialuronico-diurno-fps-20-com-50ml/p
7891150097957;SHAMPOO DOVE BABY 400ML CAMOMILA;25.08;https://www.drogaven.com.br/shampoo-dove-baby-400ml-camomila/p
7899551308917;Sutriptan 50mg, caixa com 2 comprimidos revestidos;27.6;https://www.drogaven.com.br/sutriptan-50mg-2cpr/p
7908470007976;Mordedor Boneco Latoy Mickey Clássico;22.24;https://www.drogaven.com.br/mordedor-boneco-latoy-michey-classico/p
7896181916086;Angipress CD 50mg + 12,5mg, caixa com 30 comprimidos;39.48;https://www.drogaven.com.br/angipress-cd-50125mg-30cpr/p
7896004762951;Lubrificante Ocular Adaptis Fresh 10mL;75.63;https://www.drogaven.com.br/lubrificante-ocular-adaptis-fresh-10ml/p
7898587900195;Colpotrofine 10mg/g, bisnaga com 30g de creme de uso vaginal + 20 aplicadores;107.08;https://www.drogaven.com.br/colpotrofine-cr-30gr/p
7897917003261;Omoprel 20mg, 56 cápsulas gelatinosas duras;36.79;https://www.drogaven.com.br/omoprel-20mg-56-capsulas-gelatinosas-duras/p
7896007549269;Fralda Descartável Huggies Tripla Proteção Hiper G 78 Unidades;69.48;https://www.drogaven.com.br/fralda-descartavel-huggies-disney-baby-tripla-protecao-g-pacote-com-78-unidades/p
7898700410488;Cloridrato de Fexofenadina Vitamedic 6mg/mL, caixa com 1 frasco com 60mL de suspensão de uso oral + seringa dosadora;24.07;https://www.drogaven.com.br/fexofenadina-suspensao-60ml-vitamedic-generico/p
7897947601178;Lavitan Melatonina Sabor Maracujá 150 Comprimidos Mastigáveis;32.24;https://www.drogaven.com.br/lavitan-melatonina-0210mcg-150cpr-maracuja/p
7896261002685;Parlodel 2,5mg, caixa com 28 comprimidos;152.13;https://www.drogaven.com.br/parlodel-25mg-28cpr/p
7896311707898;Maltodextrin Integralmedica guaraná, sachê com 1Kg;39.1;https://www.drogaven.com.br/maltodextrin-integralmedica-guarana-sache-com-1kg/p
7896015591007;Creme Fixador de Dentadura Corega Ultra sem sabor 8,5g;14.83;https://www.drogaven.com.br/creme-fixador-de-dentadura-corega-ultra-sem-sabor-85g/p
7898577235030;UNHA POSTICA FHACES COPA 2022 36UN AMARELO/AZUL;10.77;https://www.drogaven.com.br/unha-postica-fhaces-copa-2022-36un-amareloazul/p
7891317028794;Ketto 10mg, 10 comprimidos sublinguais;30.8;https://www.drogaven.com.br/ketto-10mg-10-comprimidos-sublinguais/p
7896023756849;Figatil 0,8335mL/mL + 0,8335mL/mL, flaconete com 10mL de solução de uso oral;5.37;https://www.drogaven.com.br/figatil-08335mlml-08335mlml-flaconete-com-10ml-de-solucao-de-uso-oral/p
7898632470710;Cera Depilatória Labotrat para Pele Sensível camomila, pote com 300g;15.67;https://www.drogaven.com.br/depilatorio-labotrat-cera-300g-camomila/p
