EAN;Produto;Preço (R$);Link
7891142142771;Sabonete Facial Epidac OC barra 90g;40.86;https://www.drogaven.com.br/sabonete-facial-epidac-oc-barra-90g/p
7896261002685;Parlodel 2,5mg, caixa com 28 comprimidos;152.13;https://www.drogaven.com.br/parlodel-25mg-28cpr/p
7702031310914;Hidratante Corporal Neutrogena Hydro Boost Water Gel 400mL;49.55;https://www.drogaven.com.br/hidratante-corporal-neutrogena-hydro-boost-water-gel-400ml/p
7909843238348;HAVAIANAS COLOR ESSENTIAL AREIA 37/8 1222227;34.54;https://www.drogaven.com.br/havaianas-color-essential-areia-378-1222227/p
7898415018269;CALCANHEIRA SILICONE PONTO AZUL G;77.32;https://www.drogaven.com.br/calcanheira-silicone-ponto-azul-g/p
8809253005143;Seringa de Insulina Uniqmed 30G, com agulha 8mm x 0,30mm, 10 unidades com capacidade de 1mL cada;26.9;https://www.drogaven.com.br/seringa-uninqmed-insulina-1ml-8x030mm-10un-30g/p
7891024036402;Sabonete Protex Cuidado Íntimo delicate care, barra 85g;6.56;https://www.drogaven.com.br/sabonete-protex-cuidado-intimo-delicate-care-barra-85g/p
7899547522877;Mesilato de Doxazosina Prati-Donaduzzi 4mg, 30 comprimidos;56.43;https://www.drogaven.com.br/mesilato-de-doxazosina-prati-donaduzzi-4mg-30-comprimidos/p
7891317017712;Rivaxa 15mg, 30 comprimidos revestidos;41.92;https://www.drogaven.com.br/rivaxa-15mg-30-comprimidos-revestidos/p
7894222037899;Esmalte Cremoso Dailus Feat. Mentos red fruit;6.36;https://www.drogaven.com.br/esmalte-cremoso-dailus-feat-mentos-red-fruit/p
7897655400179;Giarlam 10mg/mL caixa com 1 frasco com 70mL de suspensão de uso oral;18.09;https://www.drogaven.com.br/giarlan-70ml/p
7908192701763;MUNHEQUEIRA ELASTICA AJUST ESQUERDA RECOVERY P HIDROLIGHT;86.14;https://www.drogaven.com.br/munhequeira-elastica-ajust-esquerda-recovery-p-hidrolight/p
7908585103495;Autoteste Covid-19 Wama Alerta Antígeno;39.19;https://www.drogaven.com.br/autoteste-covid-19-wama-alerta-antigeno/p
