EAN;Curva;Produto;Concorrente;Preço concorrente;Nosso preço;Ganhador;Melhor preço;Classificação
7896111999554;C;ESMALTE IMPALA VIVA AME E BRILHE NINGUEM ME SEGURA;Drogaven;6.56;5.94;DROGACENTRO;5.94;PRINCIPAL > PERFUMARIA > BELEZA > ESMALTES
7891350045253;D;ESMALTE RISQUE MANICORES UM DIA AMADURE;Drogal;8.15;6.67;DROGACENTRO;6.67;PRINCIPAL > PERFUMARIA > BELEZA > ESMALTES
7891350040036;C;ESMALTE RISQUE REINVENTE PADRAOZINHO PRA QUEM;Drogal;9.35;5.55;DROGACENTRO;5.55;PRINCIPAL > PERFUMARIA > BELEZA > ESMALTES
7896094208537;C;FILTRUM ULTRA SECO FPS30 CREME 60G;DrogaRaia;103.57;73.17;DROGACENTRO;73.17;PRINCIPAL > PERFUMARIA > BELEZA > DERMOCOSMETICO
7896007549269;B;FRALDA HUGGIES TRIPLA PROTECAO G HIPER C/78;Drogaven;69.48;85.97;Drogaven;69.48;PRINCIPAL > PERFUMARIA > INFANTIL > FRALDA INFANTIL
7500435132749;D;FRALDA PAMPERS SUPERSEC XG C/ 22;Drogaven;37.15;43.51;Drogaven;37.15;PRINCIPAL > PERFUMARIA > INFANTIL > FRALDA INFANTIL
7898623956711;C;HIDRA KIT SALON LINE SHAMPOO+CONDICIONADOR CERAMIDAS 300ML;DrogaRaia;23.99;20.93;DROGACENTRO;20.93;PRINCIPAL > PERFUMARIA > CABELO > KIT
8429420079632;D;ISDIN FOTOPROT GEL CREAM 50+ FPS60;Drogal;88.75;85.07;DROGACENTRO;85.07;PRINCIPAL > PERFUMARIA > BELEZA > DERMOCOSMETICO
7896523221724;B;K-MED GEL 100G;Drogal;22.99;32.0;Drogal;22.99;PRINCIPAL > PERFUMARIA > MASCULINO > RELACOES INTIMAS > LUBRIFICANTE
7897947615397;B;KIT SABONETE INTIMO DERMAFEME FRESH 200ML C/2;Drogaven;19.59;22.34;Drogaven;19.59;PRINCIPAL > PERFUMARIA > HIGIENE > DESCARTAVEL-INTIMA > SABONETE INTIMO
7891150093256;C;KIT SHAMPOO 350ML+CONDICIONADOR 150ML DOVE NUTRICAO;Drogal;19.99;35.06;Drogal;19.99;PRINCIPAL > PERFUMARIA > CABELO > KIT
7891182016407;C;KOLESTON LOURO CINZA CLARO 81;Drogaven;25.23;23.78;DROGACENTRO;23.78;PRINCIPAL > PERFUMARIA > CABELO > TINTURA/TONALIZANTE
7898919412341;C;LEITE MONANGE IOGURTE COM AVEIA 200ML;Drogaven;10.68;10.3;DROGACENTRO;10.3;PRINCIPAL > PERFUMARIA > BELEZA > CORPO > HIDRATANTE
7896018700536;C;LENCO INTIMUS C/16;Drogaven;10.68;10.34;DROGACENTRO;10.34;PRINCIPAL > PERFUMARIA > HIGIENE > DESCARTAVEL-INTIMA > SABONETE INTIMO
7896222720009;C;PRESERVATIVO JONTEX LUBRIFICADO SENSITIVE BOLSO C/3;Drogaven;12.64;11.51;DROGACENTRO;11.51;PRINCIPAL > PERFUMARIA > MASCULINO > RELACOES INTIMAS > PRESERVATIVO
7898079000235;C;PRESERVATIVO PRUDENCE LUBRIFICADO NEON C/3;Drogal;22.29;17.62;DROGACENTRO;17.62;PRINCIPAL > PERFUMARIA > MASCULINO > RELACOES INTIMAS > PRESERVATIVO
7898079001386;C;PRESERVATIVO PRUDENCE LUBRIFICADO SUPER SENSIT L12P10;Drogal;36.65;30.67;DROGACENTRO;30.67;PRINCIPAL > PERFUMARIA > MASCULINO > RELACOES INTIMAS > PRESERVATIVO
7898903991524;C;PRESERVATIVO RILEX TUTTI FRUTTI C/3;Drogaven;3.91;3.88;DROGACENTRO;3.88;PRINCIPAL > PERFUMARIA > MASCULINO > RELACOES INTIMAS > PRESERVATIVO
7896902204942;D;PROTETOR FACIAL TOQUE SECO BEGE CLARO FPS50 60G SUNLESS ;Drogaven;30.14;39.18;Drogaven;30.14;PRINCIPAL > PERFUMARIA > BELEZA > PROTETOR PELE > FACIAL
7891035000898;C;REPELENTE SBP BABY LOÇAO 100ML  ;Drogaven;31.64;30.04;DROGACENTRO;30.04;PRINCIPAL > PERFUMARIA > BELEZA > PROTETOR PELE > REPELENTE
7899706171601;C;REVITALIFT HIALU DIA FPS20 49G;Drogaven;40.38;50.41;Drogaven;40.38;PRINCIPAL > PERFUMARIA > BELEZA > DERMOCOSMETICO
7896082900054;C;SABONETE ACNASE 110G;Drogal;16.39;17.65;Drogal;16.39;PRINCIPAL > PERFUMARIA > BELEZA > DERMOCOSMETICO
