EAN;Produto;Preço (R$);Link
7891150014107;Shampoo Anticaspa Clear Men Controle e Alívio da Coceira 200ml;22.89;https://www.drogal.com.br/shampoo-anticaspa-clear-men-controle-e-alivio-coceira-200ml/p
7896000629081;Chupeta Kuka Soft Comfort Bico Redondo Nº2 Cor Rosa 1 Unidade;23.49;https://www.drogal.com.br/chupeta-kuka-soft-comfort-bico-redondo-no2-cor-rosa-1-unidade/p
7791293032498;Desodorante Antitranspirante Aerosol Rexona Feminino Bamboo 72h 150ml;14.89;https://www.drogal.com.br/desodorante-antitranspirante-aerosol-rexona-bamboo-72h-150ml/p
7891024035047;Sabonete em Barra Protex Limpeza Profunda 85g;3.65;https://www.drogal.com.br/sabonete-em-barra-protex-limpeza-profunda-85g/p
7891150037458;Shampoo Seda Hidratação Diária 325ml;14.89;https://www.drogal.com.br/shampoo-seda-anticaspa-hidratacao-diaria-325ml/p
78924529;Desodorante Antitranspirante Roll-On Dove Invisible Care 50ml;14.09;https://www.drogal.com.br/desodorante-antitranspirante-roll-on-dove-invisible-dry-50ml/p
4005900004956;Loção Deo-Hidratante Nivea Soft Milk 400ml;29.99;https://www.drogal.com.br/hidratante-desodorante-nivea-soft-milk-400ml/p
7891150044555;Shampoo Baby Dove Cabelos Cacheados 200ml;14.89;https://www.drogal.com.br/shampoo-baby-dove-cabelos-cacheados-200ml/p
7896000614018;Mamadeira Kuka Aquarela Big Orto Com Alça Nº2 Azul 330ml;49.65;https://www.drogal.com.br/mamadeira-kuka-aquarela-big-orto-com-alca-no2-azul-330ml/p
7891150043923;Sabonete em Barra Dove Revigorante Romã e Verbena 90g;4.89;https://www.drogal.com.br/sabonete-em-barra-dove-revigorante-roma-e-verbena-90g/p
7896000706065;"Coloração Cor&amp;Ton Creme Niely 7.1 Louro Cinza Médio";16.99;https://www.drogal.com.br/coloracao-corton-creme-niely-71-louro-cinza-medio/p
9001616703928;Mamadeira Mam Easy Active Neutra 270ml;70.79;https://www.drogal.com.br/mamadeira-mam-easy-active-neutra-270ml/p
7891350036718;Bálsamo Barba e Bigode Bozzano Hidratante 90g;30.89;https://www.drogal.com.br/balsamo-barba-e-bigode-bozzano-hidratante-90g/p
7891024114865;Sabonete Líquido Antibacteriano para Corpo Protex Nutri Protect Vitamina E 250ml;13.15;https://www.drogal.com.br/sabonete-liquido-antibacteriano-para-corpo-protex-nutri-protect-vitamina-e-250ml/p
7891010973902;Antisséptico Bucal Listerine Cool Mint Refrescância Suave Sem Álcool 250ml;18.25;https://www.drogal.com.br/antisseptico-bucal-listerine-cool-mint-refrescancia-suave-sem-alcool-250ml/p
7899706155021;Gel Facial Limpeza Profunda La Roche-Posay Effaclar Concentrado 300g;108.45;https://www.drogal.com.br/gel-facial-limpeza-profunda-la-roche-posay-effaclar-concentrado-300g/p
7898556031523;Sabonete Líquido Facial Zeta Skin 150ml;23.95;https://www.drogal.com.br/sabonete-liquido-facial-zeta-skin-150ml/p
