EAN;Produto;Preço (R$);Link
956019;BASE ADESIVA SENSURA MIO CONCAVE 40MM REC 10-35MM - COLOPLAST 18500 CX 5UN;361.5;https://www.drogaraia.com.br/base-adesiva-sensura-mio-concave-40mm-rec-10-35mm-coloplast-18500-cx-5un-956019.html
7891317001100;MAQ SUPLEMENTO DE VITAMINAS E MINERAIS 60 COMPRIMIDOS;140.84;https://www.drogaraia.com.br/maq-suplemento-de-vitaminas-e-minerais-60-comprimidos-1021458.html
7896512911001;Desodorante Aerosol para Pés Granado Sport 100ml;44.95;https://www.drogaraia.com.br/desodorante-aerosol-para-pes-sport-100-ml-granado-839065.html
7899111750231;KIT 2 SABONETES EM BARRA VEGANO LARANJA MADRESSENZA 180G;55.8;https://www.drogaraia.com.br/kit-2-sabonetes-em-barra-vegano-laranja-madressenza-180g-985005.html
7891066004209;Presilha Tic-Tac Triss Sortidas 10 Unidades;13.97;https://www.drogaraia.com.br/needs-conjunto-tictacs-com-parte-plastica-dois-de-cada-cor-10-unidades.html
7908026509572;HIDRATANTE CORPORAL ANTIESTRIAS OLEO ROSA MOSQUETA ROSATIV ABELHA RAINHA 180ML;22.99;https://www.drogaraia.com.br/hidratante-corporal-antiestrias-oleo-rosa-mosqueta-rosativ-abelha-rainha-180ml-930660.html
7891010099725;Neutrogena Deep Clean Sabonete Barra Facial 80G;37.85;https://www.drogaraia.com.br/neutrogena-deep-clean-sabonete-barra-facial-80g-791277.html
134019;KIT 2X BARRA WHEY GREGO BAR - 12 UNIDADES DE 40G TORTA DE LIMãO - NUTRATA;270.4;https://www.drogaraia.com.br/kit-2x-barra-whey-grego-bar-12-unidades-de-40g-torta-de-limao-nutrata-727200.html
893016;MEIA CALçA GESTANTE ATM VENOSAN ULTRALINE 4000 COMP 20-30 P;394.0;https://www.drogaraia.com.br/meia-calca-gestante-atm-venosan-ultraline-4000-comp-20-30-p-893016.html
7896902212596;Protetor solar sunless facial fps 50 base medio 60g;36.52;https://www.drogaraia.com.br/protetor-solar-sunless-facial-fps-50-base-medio-60g-667720.html
7897104907181;THERMO ABDOMEN (120 TABS) - PADRãO: ÚNICO;109.9;https://www.drogaraia.com.br/thermo-abdomen-120-tabs-padrao-unico-909534.html
849030;Barra de Proteína Essential Nutrition Radiance Joy Mystic Lemon 50g ;18.0;https://www.drogaraia.com.br/radiance-joy-50g-mystic-lemon-essential-nutrition-849030.html
7500435143189;Desodorante Antitranspirante Secret Powder Protect Cotton Barra 48h Feminino 45g;29.9;https://www.drogaraia.com.br/secret-desodorante-stick-cotton-45g.html
7898157614163;Desodorante Antitranspirante Roll-On Zog Extreme Adventure Masculino 55ml;11.2;https://www.drogaraia.com.br/desodorante-zog-roll-on-adventure-55ml-666968.html
7896768403015;Protetor solar com cor peles oleosas biosole bb fps 60 cor noce - 40ml;122.5;https://www.drogaraia.com.br/protetor-solar-com-cor-peles-oleosas-biosole-bb-fps-60-cor-noce-40ml-682137.html
7793481226009;Kit 04 unidades hairskin supreme d-pantenol 60caps maxinutri;276.0;https://www.drogaraia.com.br/kit-04-unidades-hairskin-supreme-d-pantenol-60caps-maxinutri-867474.html
382900147031;Agulha para Caneta Aplicadora de Insulina BD Ultra-Fine 5mm com 100 unidades;123.39;https://www.drogaraia.com.br/bd-agulha-para-caneta-de-insulina-ultra-fine-mini-5mm-com-100-unidades.html
959326;Lapis de sobrancelhas universal;33.16;https://www.drogaraia.com.br/lapis-de-sobrancelhas-payot-universal-959326.html
7896013539148;NOVEX REPOSITOR DE MASSA CREME DE TRATAMENTO 1KG;43.3;https://www.drogaraia.com.br/novex-repositor-de-massa-creme-de-tratamento-1kg-1010649.html
7898715330139;BOLSA PARA AGUA QUENTE 2 LITROS RED - KIT 4 UNIDADES - LISMED;112.0;https://www.drogaraia.com.br/bolsa-para-agua-quente-2-litros-red-kit-4-unidades-lismed-853717.html
7898270232848;MEIA ¾ PANTURRILHA ATTIVA ALTA COMPRESSAO 20-30 FEM FECHADA PRETA M;87.19;https://www.drogaraia.com.br/meia-panturrilha-attiva-alta-compressao-20-30-fem-fechada-preta-748036.html
3401399372575;BIODERMA ATODERM MãOS E UNHAS 50ML;124.3;https://www.drogaraia.com.br/bioderma-atoderm-maos-e-unhas-50ml-790765.html
996981;KIT 4X SINERGIA SINUS 5ML LASZLO;223.08;https://www.drogaraia.com.br/kit-4x-sinergia-sinus-5ml-laszlo-996981.html
748945122530;Super B Complex, Triptofano, Magnésio, Zinco Vitgold 60 caps;126.71;https://www.drogaraia.com.br/stress-formula-taurina-triptofano-magnesio-vitgold-60-caps-872523.html
766609;Kit Desodorante Lafe'S Crystal Rock Vegano 60g  2 unidades;115.28;https://www.drogaraia.com.br/kit-desodorante-crystal-rock-lafes-63g-vegano-c-2unids-766609.html
645760591483;PASTADEAMENDOIMCOMCARAMELODETâMARAORGâNICAONVEG210G;43.88;https://www.drogaraia.com.br/pasta-de-amendoim-com-caramelo-de-tamara-organica-onveg-210g-620534.html
773142;KIT PAYOT PROTEçãO NOTURNA (2 PRODUTOS);94.9;https://www.drogaraia.com.br/kit-payot-protecao-noturna-2-produtos-773142.html
7898040320997;Glimepil Glimepirida 6mg 30 comprimidos;188.0;https://www.drogaraia.com.br/glimepil-6mg-30-comprimidos.html
7898947942285;Truss professional basic shampoo - 2,4 l;309.96;https://www.drogaraia.com.br/truss-professional-basic-shampoo-2-4-l-761457.html
7891066008665;Hidratante Corporal Needs Nutri Reparador Pele Extra-Seca 400g;44.9;https://www.drogaraia.com.br/needs-creme-hidratante-nutri-reparadora-400g.html
7899572810192;ÓLEO PINGA AçAí E PRACAXI LOLA COSMETICS 50ML (LISTA NLDP);60.96;https://www.drogaraia.com.br/oleo-pinga-acai-e-pracaxi-lola-cosmetics-50ml-lista-nldp-859652.html
744875;Meia 3/4 Alta Compressão 20-30mmHg Aberta Natural Escuro M3 Select Confort Premium;253.34;https://www.drogaraia.com.br/meia-3-4-select-comfort-premium-862-ad-20-30-mmhg-sigvaris-aberta-744875.html
7897337716437;Elonva 150mcg 1 Seringa Preenchida 0,5ml;2912.2;https://www.drogaraia.com.br/elonva-150mcg-sol-inj-c-1-ser-0-5ml-692059.html
7908458315390;Kit Creme Para Pentear e Ativador de Cachos SOS Cachos Coco e Máscara SOS Hidratação Bio-Reconstrução Salon Line;86.67;https://www.drogaraia.com.br/kit-com-creme-para-pentear-e-ativador-de-cachos-sos-cachos-coco-e-mascara-sos-hidratacao-bio-reconstrucao-salon-line-862491.html
7898606742898;Máscara de Cabelo Proteína Cadiveu Essentials Quartzo Shine by Boca Rosa 200ml;26.9;https://www.drogaraia.com.br/cadiveu-essentials-boca-rosa-quartzo-shine-proteina-de-quartzo-200ml-676396.html
7896111995341;Esmalte Cremoso Impala A Cor da Moda 7,5ml - Floresça;4.2;https://www.drogaraia.com.br/impala-esmalte-cor-da-moda-floresca-7-5ml.html
7791293022567;Desodorante Antitranspirante Aerosol Rexona Men V8 48H 150Ml;17.99;https://www.drogaraia.com.br/desodorante-antitranspirante-aerosol-rexona-men-v8-150ml-631525.html
7898216360727;Secnidazol 1000mg 2 Comprimidos Pharlab Genérico;20.39;https://www.drogaraia.com.br/secnidazol-1000mg-pharlab-generico-2-comprimidos.html
7896006217626;Cef Cefalexina 500mg 10 cápsulas;29.69;https://www.drogaraia.com.br/cef-500mg.html
7899706181631;Redken All Soft Heavy Cream - Máscara Capilar 500ml;225.9;https://www.drogaraia.com.br/redken-all-soft-heavy-cream-mascara-500ml-673360.html
7898632472776;ESFOLIANTE CORPO E ROSTO LABOTRAT MARACUJá 150G;19.19;https://www.drogaraia.com.br/esfoliante-corpo-e-rosto-labotrat-maracuja-150g-943142.html
7898336438290;Tapete de Exercícios Laranja;80.49;https://www.drogaraia.com.br/tapete-de-exercicios-laranja.html
7898625791631;Shampoo Truss Uso Obrigatório Reparador Reconstrução 300ml;119.93;https://www.drogaraia.com.br/truss-uso-obrigatorio-shampoo-300ml-761527.html
