EAN;Produto;Preço (R$);Link
7891268100228;Aldactone 50mg caixa com 30 comprimidos;64.79;https://www.drogal.com.br/aldactone-50mg-30-cpr/p
7897595620279;Cloridrato de Loperamida 2mg 12 Comprimidos - Sandoz;4.59;https://www.drogal.com.br/cloridrato-de-loperamida-2mg-12-comprimidos-sandoz/p
7891317197506;Don 10mg 30 Comprimidos;92.39;https://www.drogal.com.br/don-10mg-30-comprimidos/p
7896637023122;Moment 0,025% Loção Tópica 60ml;64.99;https://www.drogal.com.br/moment-0025-locao-topica-60ml/p
7897572020238;Janumet XR 50/1.000mg 60 Comprimidos Revestidos de Liberação Prolongada;254.39;https://www.drogal.com.br/janumet-xr-50-1000mg-60-comprimidos-revestidos-de-liberacao-prolongada/p
4005808310999;Loção Deo-Hidratante Nivea Lotion Express 200ml;19.79;https://www.drogal.com.br/hidratante-nivea-lotion-express-200ml/p
7896000624864;Chupeta Kuka +6 Meses Bico Ortodôntico Cor Azul 1 Unidade;15.79;https://www.drogal.com.br/chupeta-kuka-6-meses-bico-ortodontico-cor-azul-1-unidade/p
7895858017439;Magnésia Bisurada Sabor Menta 40 Pastilhas Antiácidas;46.09;https://www.drogal.com.br/magnesia-bisurada-sabor-menta-40-pastilhas-antiacidas/p
7898087340354;Loção Oleosa Dersani Baby 50ml;30.79;https://www.drogal.com.br/locao-oleosa-dersani-baby-50ml/p
7896090611928;Sonridor Rapid Forte 4 Comprimidos;5.59;https://www.drogal.com.br/sonridor-rapid-forte-4-comprimidos/p
7896004729459;Atorvastatina Cálcica 80mg EMS 30 Comprimidos Revestidos;187.39;https://www.drogal.com.br/atorvastatina-80mg-30cp-gems/p
7898747480314;Roll-On Kids Mix de Óleo Thérapi Zé Lelé Tranquilidade e Relaxamento 10ml;39.9;https://www.drogal.com.br/roll-on-kids-mix-de-oleo-therapi-ze-lele-tranquilidade-e-relaxamento-10ml/p
7908079516572;Grampo Para Cabelo Sveda Hair Nº 5 Loiro 50 Unidades;9.75;https://www.drogal.com.br/grampo-para-cabelo-n-5-loiro-sveda-hair-50-unidades/p
7898718960418;Cabo Tipo C Leve-Me PD 1 Unidade;35.9;https://www.drogal.com.br/cabo-tipo-c-leve-me-pd-1-unidade/p
7891106915977;DIU Mirena 52mg 1 Endoceptivo + 1 Insertor;1198.89;https://www.drogal.com.br/diu-mirena-52mg-1-endoceptivo-1-insertor/p
7908020502586;Linofeme 0,15mg + 0,03mg 21 Comprimidos Revestidos;11.29;https://www.drogal.com.br/linofeme-015mg-003mg-21-comprimidos-revestidos/p
7898198860024;Coletor Universal Estéril JProlab 80ml;2.29;https://www.drogal.com.br/coletor-universal-esteril-jprolab-80ml/p
7896012880203;Fralda Descartável Adulto Bigfral Derma Plus M Embalagem Econômica 18 Unidades;52.99;https://www.drogal.com.br/fralda-descartavel-adulto-bigfral-derma-plus-m-embalagem-economica-18-unidades/p
7896676427844;Kollagenase com Cloranfenicol 10mg/g + 0,6UI/g 15g Pomada de Uso Dermatológico;34.19;https://www.drogal.com.br/kollagenase-com-cloranfenicol-10mg-06uig-pomada-bisnaga-com-15g/p
7896714290140;Shampoo Antioleosidade e Aticaspa Celamina Zinco 200ml;94.79;https://www.drogal.com.br/shampoo-antioleosidade-e-aticaspa-celamina-zinco-200ml/p
7896714294346;Olmesartana Medoxomila 40mg + Besilato de Anlodipino 10mg Neo Química 30 Comprimidos Revestidos;50.59;https://www.drogal.com.br/olmesartana-medoxomila-40mg-besilato-de-anlodipino-10mg-neo-quimica-30-comprimidos-revestidos/p
7899674042750;Kit Sabonete em Barra Above Woman Cream Vanilla 6 Unidades 75g;13.99;https://www.drogal.com.br/kit-sabonete-em-barra-above-woman-cream-vanilla-6-unidades-75g/p
7908079508416;Cera Quente Sveda Própolis e Mel 250g;16.15;https://www.drogal.com.br/cera-quente-sveda-propolis-e-mel-250g/p
7896094203280;Reconter 15mg caixa com 30 comprimidos revestidos;100.59;https://www.drogal.com.br/reconter-15mg-30-cpr-c1/p
7891350040029;Condicionador Bozzano  Cachos e Crespos 3x1 200ml;20.95;https://www.drogal.com.br/condicionador-bozzano-cachos-e-crespos-3x1-200ml/p
7891142981356;PredSim 20mg 20 Comprimidos Revestidos;61.21;https://www.drogal.com.br/predsim-20mg-20-comprimidos-revestidos/p
7898148297542;Mupirocina 20mg/g Prati-Donaduzzi Bisnaga 15g Pomada de Uso Dermatológico;32.99;https://www.drogal.com.br/mupirocina-20mgg-prati-donaduzzi-bisnaga-15g-pomada-de-uso-dermatologico/p
7509546660561;Creme Dental Infantil Colgate Smiles Agnes Sabor Melancia 60g;10.39;https://www.drogal.com.br/creme-dental-infantil-colgate-smiles-agnes-sabor-melancia-60g/p
7891317476588;Esc 10mg 30 Comprimidos Revestidos;74.59;https://www.drogal.com.br/esc-10mg-30-comprimidos-revestidos/p
7908079502964;Lixa Soft Line E.v.a para Pés Sveda 1 Unidade;17.65;https://www.drogal.com.br/lixa-soft-line-eva-para-pes-sveda-1-unidade/p
7897595634238;Zinnat 500mg 10 Comprimidos Revestidos;224.79;https://www.drogal.com.br/zinnat-500mg-10-comprimidos-revestidos/p
76101;Alfajor Carmela Chocolate com Doce de leite 50g;7.39;https://www.drogal.com.br/alfajor-carmela-chocolate-com-doce-de-leite-50g/p
7898430192272;DPrev 50.000 UI 12 Cápsulas Moles;143.75;https://www.drogal.com.br/dprev-50000-ui-12-capsulas-moles/p
7891010250935;"Refil Sabonete Líquido Johnson&apos;s Baby da Cabeça aos Pés 380ml";23.85;https://www.drogal.com.br/sabonete-liquido-refil-johnsons-baby-da-cabeca-aos-pes-380ml/p
7896094921887;Ondif 8mg 10 Filmes;75.89;https://www.drogal.com.br/ondif-8mg-10-strips/p
7899420501487;Renovi B 30 Comprimidos Revestidos;79.89;https://www.drogal.com.br/renovi-b-30-comprimidos-revestidos/p
7898948648087;Androgel 50mg Gel 30 Envelopes 5g;261.69;https://www.drogal.com.br/androgel-50mg-gel-30-envelopes-5g/p
7896181922834;Valsartana 160mg + Hidroclorotiazida 12,5mg Biosintética 30 Comprimidos Revestidos;51.19;https://www.drogal.com.br/valsartana-160mg--hidroclorotiazida-125mg-biosintetica-30-comprimidos-revestidos/p
7899706251242;Protetor Solar Facial Vichy Capital Soleil UV-Clear Antioleosidade FPS60 Cor 2.0 40g;89.65;https://www.drogal.com.br/protetor-solar-facial-vichy-capital-soleil-uv-clear-antioleosidade-fps60-cor-20-40g/p
7896000672056;Escova de Limpeza para Mamadeira Cor Azul;35.45;https://www.drogal.com.br/escova-de-limpeza-para-mamadeira-cor-azul/p
7898687733624;Cloridrato de Propafenona 150mg Althaia 60 Comprimidos Revestidos;44.29;https://www.drogal.com.br/cloridrato-de-propafenona-150mg-althaia-60-comprimidos-revestidos/p
7899547533378;Onaz 5mg Prati-Donaduzzi 30 Comprimidos Revestidos;121.39;https://www.drogal.com.br/onaz-5mg-prati-donaduzzi-30-comprimidos-revestidos/p
7908079512420;Suplemento Alimentar Bioproflora 6 Cápsulas;22.49;https://www.drogal.com.br/suplemento-alimentar-bioproflora-6-capsulas/p
7896094210479;Ceci 2mg + 1mg 84 Comprimidos Revestidos;165.39;https://www.drogal.com.br/ceci-2mg-1mg-84-comprimidos-revestidos/p
7896004820521;Hemifumarato de Bisoprolol 5mg Germed 30 Comprimidos Revestidos;45.9;https://www.drogal.com.br/hemifumarato-de-bisoprolol-5mg-germed-30-comprimidos-revestidos/p
7896714261515;Dipirona Sódica 500mg + Cafeína 65mg Neo Química 16 Comprimidos;21.94;https://www.drogal.com.br/dipirona-sodica-500mg-cafeina-65mg-neo-quimica-16-comprimidos/p
7899420506185;Lânico 400mg/ml + 57mg/ml Pó para Suspensão Oral 70ml + Seringa Dosadora;59.9;https://www.drogal.com.br/lanico-susp-oral-70ml/p
7897780203294;Água Oxigenada Rioquímica 10 Volumes 100ml;4.15;https://www.drogal.com.br/agua-oxig-10v-100ml-almotolia-rioquimica/p
7897316804926;Combigan Solução Oftálmica Estéril 5ml;145.23;https://www.drogal.com.br/combigan-solucao-oftalmica-esteril-5ml/p
7891010256371;Mylicon 75mg solução frasco com 15ml;35.79;https://www.drogal.com.br/mylicon-gts-15ml/p
78900790;Pastilhas Valda Diet Sem Açúcar Sabor Mentol, Eucaliptol e Timol 50g;32.99;https://www.drogal.com.br/pastilha-valda-friends-diet-sabor-mentol-eucaliptol-e-timol-sem-acucar-50g/p
7896658034251;Mefex 250mg 10 Comprimidos Revestidos;91.09;https://www.drogal.com.br/mefex-250mg-10-comprimidos-revestidos/p
7891058464073;Analgésico e Antitérmico Novalgina Infantil 50mg/ml Sabor Framboesa Solução Oral 100ml + Seringa Dosadora;35.99;https://www.drogal.com.br/analgesico-e-antitermico-novalgina-infantil-50mg-ml-sabor-framboesa-solucao-oral-100ml-seringa-dosadora/p
7891721022579;Glifage XR 1g 30 Comprimidos de Liberação Prolongada;42.69;https://www.drogal.com.br/glifage-xr-1g-30-comprimidos-de-liberacao-prolongada/p
7891058431037;Lasix 40mg caixa com 20 comprimidos;23.09;https://www.drogal.com.br/lasix40mgcaixacom20comprimidos/p
7897595634146;Zinnat 250mg/ml Pó para Suspensão Oral 50ml;194.83;https://www.drogal.com.br/zinnat-250mg-susp-50ml/p
7899706178204;Protetor Solar Anti-idade La Roche-Posay Anthelios AE-Pigmentation FPS50 Cor Clara 40g;104.79;https://www.drogal.com.br/protetor-solar-anti-idade-clareador-la-roche-posay-anthelios-ae-pigmentation-fps50-cor-clara-40g/p
7896112413790;Pressat 5mg 60 Comprimidos;97.19;https://www.drogal.com.br/pressat-5mg-60-cpr/p
7891317009748;Tamisa 30 75mcg + 30mcg 28 Comprimidos;45.19;https://www.drogal.com.br/tamisa-30-75mcg--30mcg-28-comprimidos/p
7896004711799;Cloridrato de Fluoxetina 20mg Germed 30 Comprimidos Revestidos;10.39;https://www.drogal.com.br/cloridrato-de-fluoxetina-20mg-germed-30-comprimidos-revestidos/p
7897595602527;Mesilato de Doxazosina 4mg Sandoz 30 Comprimidos;24.39;https://www.drogal.com.br/mesilatodedoxazosinasandoz4mgcaixacom30comprimidos/p
7896004710860;Cloridrato De Amilorida 2,5mg + Hidroclorotiazida 25mg EMS 30 Comprimidos;8.58;https://www.drogal.com.br/cloridrato-de-amilorida-25mg-hidroclorotiazida-25mg-ems-30-comprimidos/p
7908079506924;Fralda Calça Descartável Flock Baby XXG 24 Unidades;39.99;https://www.drogal.com.br/fralda-calca-descartavel-flock-baby-xxg-24-unidades/p
7500435173100;Creme para Depilação Gillette Venus Suavidade e Maciez 150ml;33.15;https://www.drogal.com.br/creme-para-depilacao-gillette-venus-suavidade-e-maciez-150ml/p
7896714292465;Cloridrato de Ondansetrona Di-hidratado 4mg Neo Química 30 Comprimidos Orodispersíveis;50.99;https://www.drogal.com.br/cloridrato-de-ondansetrona-di-hidratado-4mg-neo-quimica-30-comprimidos-orodispersiveis/p
7896637031776;Alois Duo 10mg + 20mg 30 Comprimidos Revestidos;221.79;https://www.drogal.com.br/alois-duo-10mg-20mg-30-comprimidos-revestidos/p
7896714224114;Valerato de Betametasona 1mg/g Neo Química Solução Tópica 50ml;41.79;https://www.drogal.com.br/valerato-de-betametasona-1mgg-neo-quimica-solucao-frasco-50ml/p
7891317002497;Cetoconazol 20mg/g + Dipropionato de Betametasona 0,64 mg/g + Sulfato de Neomicina 2,5mg/g Eurofarma Pomada 30g;14.59;https://www.drogal.com.br/cetoconazol-20mg-g--dipropionato-de-betametasona-064-mg-g--sulfato-de-neomicina-25mg-g-eurofarma-pomada-30g/p
7896083411764;Imunoflan Xarope Zero Açúcar 307,39mg/ml com 200ml;175.59;https://www.drogal.com.br/imunoflan-xarope-zero-acucar-30739mgml-com-200ml/p
7891010256043;Antisséptico Bucal Listerine Sem Álcool Refrescância Suave Sabor Melancia e Hortelã 250ml;14.25;https://www.drogal.com.br/antisseptico-bucal-listerine-sem-alcool-refrescancia-suave-sabor-melancia-e-hortela-250ml/p
4006000181936;Desodorante Antitranspirante Roll On Nivea Derma Control Defende 50ml;12.35;https://www.drogal.com.br/desodorante-antitranspirante-roll-on-nivea-derma-control-defende-50ml/p
7899420501524;Hezo 3mg 20 Comprimidos Revestidos;82.99;https://www.drogal.com.br/hezo-3mg-20-comprimidos-revestidos/p
7896015592998;Kit Suplemento Alimentar Centrum Adulto 60 Comprimidos + 30 Comprimidos;119.49;https://www.drogal.com.br/kit-suplemento-alimentar-centrum-adulto-60-comprimidos-30-comprimidos/p
7896112411529;Ablok Plus 25mg + 12,5mg 60 Comprimidos;46.39;https://www.drogal.com.br/ablok-plus-25mg-125mg-60-comprimidos/p
7908079512277;Compressa Multiuso Triane 10 Unidades;3.15;https://www.drogal.com.br/compressa-multiuso-triane-10-unidades/p
7896004719283;Hidrocortisona 10,0mg/g EMS Pomada Dermatológica 30g;23.75;https://www.drogal.com.br/hidrocortisona-100mg-g-ems-pomada-dermatologica-30g/p
8429420233416;Gel Secativo para Espinhas Isdin Oily Skin Acniben 3 On The Spot 13,8g;80.65;https://www.drogal.com.br/gel-secativo-para-espinhas-isdin-oily-skin-acniben-3-on-the-spot-138g/p
7896000629067;Chupeta Kuka Soft Comfort Bico Redondo Nº2 Transparente 1 Unidade;28.45;https://www.drogal.com.br/chupeta-kuka-soft-comfort-bico-redondo-no2-transparente-1-unidade/p
7896512920355;Gel Protetor de Calos e Bolhas Granado Pink 45g;47.09;https://www.drogal.com.br/gel-protetor-de-calos-e-bolhas-granado-pink-45g/p
7899470808321;Tilemaxy Criança 160mg/5ml Suspensão Oral Sabor Frutas 60ml;10.19;https://www.drogal.com.br/tilemaxy-crianca-160mg-5ml-suspensao-oral-sabor-frutas-60ml/p
7896637024365;Colchis 1mg 30 Comprimidos;88.89;https://www.drogal.com.br/colchis-1mg-30-comprimidos/p
78223;Paracetamol 750mg Neo Química 4 Comprimidos;4.37;https://www.drogal.com.br/paracetamol-750mg-neo-quimica-4-comprimidos/p
7896094999572;Analgésico Neosaldina Dip 1g 4 Comprimidos;9.39;https://www.drogal.com.br/neosaldina-dip-1g-4-comprimidos/p
