EAN;Produto;Preço (R$);Link
78924321;Desodorante Antitranspirante Feminino Rexona Invisible roll-on 50mL;0.0;https://www.drogaven.com.br/desodorante-antitranspirante-feminino-rexona-invisible-roll-on-50ml/p
7896422517485;Prednisona Medley 5mg, 20 comprimidos;7.78;https://www.drogaven.com.br/prednisona-medley-5mg-20-comprimidos/p
7896676405644;Xylestesin Spray 100mg/mL, frasco spray com 50mL de solução de uso dermatológico;205.65;https://www.drogaven.com.br/xylestesin-spray-10-50ml/p
7897158722013;SHAMPOO GOTA DOURADA DESAMARELADOR 430ML;16.65;https://www.drogaven.com.br/shampoo-gota-dourada-desamarelador-430ml/p
7898625791365;Shampoo Truss La Moda Uso Obrigatório 300mL;53.8;https://www.drogaven.com.br/shampoo-la-moda-truss-uso-obrigatorio-300ml/p
7898610375488;HASKELL SERUM QUINA ROSA 35ML;39.54;https://www.drogaven.com.br/haskell-serum-quina-rosa-35ml/p
7908654009376;BODY SPLASH AURA 200ML AFRODITE GARDEN;97.9;https://www.drogaven.com.br/body-splash-aura-200ml-afrodite-garden/p
7896369126832;Sabonete Corporal Hidramais erva-doce, líquido com 500mL;17.15;https://www.drogaven.com.br/sabonete-hidramais-500ml-erva-doce/p
7898593052895;FLUCETIL 600MG 16CPS ACETILCISTEINA;32.59;https://www.drogaven.com.br/flucetil-600mg-16cps-acetilcisteina/p
7891317488710;Leg 0,5mg/mL, frasco com 60mL de xarope + seringa dosadora + adaptador;50.34;https://www.drogaven.com.br/leg-05mgml-frasco-com-60ml-de-xarope-seringa-dosadora-adaptador/p
7899706145190;Água Micelar Bifásica L'Oréal Paris 200mL;35.18;https://www.drogaven.com.br/agua-micelar-bifasica-loreal-paris-200ml/p
7897316805060;Fresh Tears Liquigel 10mg/mL, frasco com 15mL de solução de uso oftálmico;0.0;https://www.drogaven.com.br/fresh-tears-liquigel-10mgml-frasco-com-15ml-de-solucao-de-uso-oftalmico/p
7891106916684;ASPDIP GOTAS 20ML;9.7;https://www.drogaven.com.br/aspdip-gotas-20ml/p
